"category";"equip_name";"cost";"serial_number";"under_warrenty";"functionality";"status";"state";"district";"facility";"department";"manufacturer";"model";"price";"installation_date";"return_date";"borrow_date";"cluster"
"Diagnostic/Monitoring";"ECG Machine";150000000;"IB12qqO";"Yes";"Active/in use";"Not Available";"Odisha";"Cuttack";"AHRCC(Cuttack)";"AHRCC-ICU";"Mortara";"ELI-250C";126000;"11/11/21";"";"";2
"Diagnostic/Monitoring";"ECG Machine";52000000;"CO62vfE";"Yes";"Active/in use";"Not Available";"Odisha";"Cuttack";"AHRCC(Cuttack)";"AHRCC-ICU";"BPL HEALTHCARE";"CADIACT-6208";54663;"11/7/21";"";"";2
"Diagnostic/Monitoring";"ECG Machine";52000000;"TK92kwV";"No";"Active/in use";"Not Available";"Odisha";"Cuttack";"AHRCC(Cuttack)";"AHRCC-OT3";"M/s BPL limited";"Cardiart 6208";60000;"9/7/20";"";"";2
"Laboratory";"Elisa Reader";200000000;"WL88seZ";"No";"Not in use";"Not Available";"Odisha";"Cuttack";"AHRCC(Cuttack)";"AHRCC-Pathology";"DYNEX";"MR-250";258000;"13/2/06";"";"";0
"Diagnostic/Monitoring";"Incubator";25000000;"WR09nmO";"No";"Active/in use";"Available";"Odisha";"Cuttack";"AHRCC(Cuttack)";"AHRCC-Pathology";" Unilab";"incubator.";7500;"28/11/16";"";"";1
"Diagnostic/Monitoring";"Incubator";25000000;"BT10ktQ";"No";"Not in use";"Available";"Odisha";"Cuttack";"AHRCC(Cuttack)";"AHRCC-Pathology";" Unilab";"incubator.";0;"20/6/90";"";"";0
"Diagnostic/Monitoring";"Multipara Monitor";65000000;"MP25cuF";"No";"Not in use";"Not Available";"Odisha";"Cuttack";"AHRCC(Cuttack)";"AHRCC-OT3";"Schiller Healthcare India Pvt Ltd";"Argus LCM Plus";0;"8/10/13";"";"";2
"Diagnostic/Monitoring";"Multipara Monitor";65000000;"YJ46auB";"Yes";"Active/in use";"Not Available";"Odisha";"Cuttack";"AHRCC(Cuttack)";"AHRCC-OT3";"Skanray health care";"Star 50N";0;"6/7/21";"";"";2
"Diagnostic/Monitoring";"Pulse Oximeter";45000000;"BS07lbN";"No";"Active/in use";"Not Available";"Odisha";"Cuttack";"AHRCC(Cuttack)";"AHRCC-OT3";"L and T  Medical Equipment and systems";"Star plus-200";353984;"6/9/13";"";"";2
"Laboratory";"Microscope";30000000;"BR69zwR";"No";"Not in use";"Available";"Odisha";"Cuttack";"AHRCC(Cuttack)";"AHRCC-Pathology";"Nikon";"HFX-II";0;"22/12/91";"";"";0
"Laboratory";"Microscope";30000000;"SO49svY";"No";"Active/in use";"Not Available";"Odisha";"Cuttack";"AHRCC(Cuttack)";"AHRCC-Pathology";"Nikon";"HFX-II";45426;"23/11/96";"";"";0
"Laboratory";"ROTARY MICROTOME";6500000;"UL35ekL";"No";"Not in use";"Available";"Odisha";"Cuttack";"AHRCC(Cuttack)";"AHRCC-Pathology";"WESWOX";"MT-1090A";16744;"2/9/06";"";"";0
"Laboratory";"ROTARY MICROTOME";6500000;"AV92jtM";"No";"Not in use";"Available";"Odisha";"Cuttack";"AHRCC(Cuttack)";"AHRCC-Pathology";"WESWOX";"MT-1090A";23400;"5/9/13";"";"";1
"Laboratory";"ROTARY MICROTOME";6500000;"NO93smA";"No";"Active/in use";"Available";"Odisha";"Cuttack";"AHRCC(Cuttack)";"AHRCC-Pathology";"Leica";"RM-2245";0;"29/7/22";"";"";1
"Laboratory";"ROTARY MICROTOME";6500000;"II19duN";"No";"Active/in use";"Not Available";"Odisha";"Cuttack";"AHRCC(Cuttack)";"AHRCC-Pathology";" Yorco";"YSI-115";75000;"6/6/19";"";"";2
"Laboratory";"Semi Auto Analyser";125000000;"XI19nmD";"No";"Not in use";"Not Available";"Odisha";"Cuttack";"AHRCC(Cuttack)";"AHRCC-Pathology";"ERBA";"EC 5X";99600;"17/1/06";"";"";0
"Laboratory";"Semi Auto Analyser";125000000;"OA70izK";"No";"Active/in use";"Available";"Odisha";"Cuttack";"AHRCC(Cuttack)";"AHRCC-Pathology";"Transasia Biomedicals Ltd";"CHEM-5 PLUSE V2";163800;"13/1/14";"";"";1
"Laboratory";"Semi Auto Analyser";125000000;"BK17rzF";"No";"Active/in use";"Not Available";"Odisha";"Cuttack";"AHRCC(Cuttack)";"AHRCC-Pathology";"Transasia Biomedicals Ltd";"CHEM-5 PLUSE V2";170352;"23/11/20";"";"";2
"Respiratory";"Suction machine";6500000;"SB57hlI";"No";"Active/in use";"Not Available";"Odisha";"Cuttack";"AHRCC(Cuttack)";"AHRCC-OT3";"Anand Surgical Industries";"Magnavac";24650;"17/10/19";"";"";2
"Respiratory";"Suction machine";6500000;"IK86qrL";"No";"Active/in use";"Not Available";"Odisha";"Cuttack";"AHRCC(Cuttack)";"AHRCC-OT1";"Anand Surgical Industries";"Magnavac";24650;"7/10/19";"";"";2
"Respiratory";"Suction machine";6500000;"MD81mgF";"No";"Active/in use";"Available";"Odisha";"Cuttack";"AHRCC(Cuttack)";"AHRCC-OT2";"Anand Surgical Industries";"Magnavac";24650;"7/10/19";"";"";1
"Respiratory";"Suction machine";6500000;"KM58nmB";"No";"Active/in use";"Available";"Odisha";"Cuttack";"AHRCC(Cuttack)";"AHRCC-OT3";"Anand Surgical Industries";"Magnavac";24650;"17/10/19";"";"";1
"Respiratory";"Suction machine";6500000;"SC32hmZ";"No";"Active/in use";"Not Available";"Odisha";"Cuttack";"AHRCC(Cuttack)";"AHRCC-OT1";"Anand Surgical Industries";"Magnavac";24650;"7/10/19";"";"";2
"Respiratory";"Suction machine";6500000;"XM14cjP";"Yes";"Active/in use";"Not Available";"Odisha";"Cuttack";"AHRCC(Cuttack)";"AHRCC-ICU";"Supreme";"Instavac.";24633;"11/11/21";"";"";2
"Respiratory";"Suction machine";6500000;"OZ74agS";"Yes";"Active/in use";"Available";"Odisha";"Cuttack";"AHRCC(Cuttack)";"AHRCC-ICU";"Supreme";"Instavac.";24633;"11/11/21";"";"";1
"Diagnostic/Monitoring";"Ultrasonography Machine";1100000000;"PW80qkE";"Yes";"Active/in use";"Available";"Odisha";"Cuttack";"AHRCC(Cuttack)";"AHRCC-Medical Physics";"Philips";"HD-7";1514240;"10/11/20";"";"";3
"Respiratory";"Ventilator";1100000000;"JE37gdR";"Yes";"Active/in use";"Not Available";"Odisha";"Cuttack";"AHRCC(Cuttack)";"AHRCC-ICU";"";"Servo-i";1463319;"1/9/21";"";"";3
"Respiratory";"Ventilator";1100000000;"KZ42txU";"Yes";"Active/in use";"Available";"Odisha";"Cuttack";"AHRCC(Cuttack)";"AHRCC-ICU";"";"Servo-i";1463319;"1/9/21";"";"";3
"Respiratory";"Ventilator";1100000000;"PG64ibP";"Yes";"Active/in use";"Available";"Odisha";"Cuttack";"AHRCC(Cuttack)";"AHRCC-ICU";"";"Servo-i";1463319;"1/9/21";"";"";3
"Respiratory";"Ventilator";1100000000;"JO85ffL";"Yes";"Active/in use";"Not Available";"Odisha";"Cuttack";"AHRCC(Cuttack)";"AHRCC-ICU";"";"Servo-i";1463319;"1/9/21";"";"";3
"Respiratory";"Ventilator";1100000000;"VQ04hmS";"Yes";"Active/in use";"Not Available";"Odisha";"Cuttack";"AHRCC(Cuttack)";"AHRCC-ICU";"";"Servo-i";1463319;"1/9/21";"";"";3
"Respiratory";"Ventilator";1100000000;"NO43ufV";"No";"Not in use";"Not Available";"Odisha";"Cuttack";"AHRCC(Cuttack)";"AHRCC-OT3";"ELECTROCARE SYSTEM";"Monal-DM";288750;"10/9/13";"";"";3
"Respiratory";"Ventilator";1100000000;"ZN73stR";"Yes";"Active/in use";"Not Available";"Odisha";"Cuttack";"AHRCC(Cuttack)";"AHRCC-ICU";"";"Servo-i";1463319;"1/9/21";"";"";3
"Respiratory";"Ventilator";1100000000;"RF53adP";"Yes";"Active/in use";"Not Available";"Odisha";"Cuttack";"AHRCC(Cuttack)";"AHRCC-ICU";"";"Servo-i";1463319;"1/9/21";"";"";3
"Respiratory";"Ventilator";1100000000;"KO25ivG";"Yes";"Active/in use";"Available";"Odisha";"Cuttack";"AHRCC(Cuttack)";"AHRCC-ICU";"";"Servo-i";1463319;"1/9/21";"";"";3
"Respiratory";"Ventilator";1100000000;"DY85hfK";"Yes";"Active/in use";"Not Available";"Odisha";"Cuttack";"AHRCC(Cuttack)";"AHRCC-ICU";"";"Servo-i";1463319;"1/9/21";"";"";3
"Respiratory";"Ventilator";1100000000;"VK22acX";"Yes";"Active/in use";"Not Available";"Odisha";"Cuttack";"AHRCC(Cuttack)";"AHRCC-ICU";"";"Servo-i";1463319;"1/9/21";"";"";3
"Respiratory";"Ventilator";1100000000;"KU27zzO";"Yes";"Active/in use";"Available";"Odisha";"Cuttack";"AHRCC(Cuttack)";"AHRCC-ICU";"";"Servo-i";1463319;"1/9/21";"";"";3
"Laboratory";"Water Bath";25000000;"OB55lzC";"No";"Active/in use";"Not Available";"Odisha";"Cuttack";"AHRCC(Cuttack)";"AHRCC-Pathology";" Yorco";"YSI-413";29800;"6/6/19";"";"";2
"Laboratory";"Water Bath";25000000;"KA71xwH";"No";"Active/in use";"Not Available";"Odisha";"Cuttack";"AHRCC(Cuttack)";"AHRCC-Pathology";" Unilab";"RH-165";8300;"28/11/16";"";"";2
"Laboratory";"Water Bath";25000000;"LL76ldK";"No";"Not in use";"Available";"Odisha";"Cuttack";"AHRCC(Cuttack)";"AHRCC-Pathology";" Yorco";"YSI-413";16750;"11/6/14";"";"";1
"Diagnostic/Monitoring";"Digital Weighing Machine";3000000;"AE97vbB";"No";"Not in use";"Not Available";"Odisha";"Angul";"Angul DHH";"SNCU(Angul)";"Prestige";"Baby Weighing Machine";0;"16/5/17";"";"";2
"Diagnostic/Monitoring";"Digital Weighing Machine";3000000;"QB98toW";"No";"Active/in use";"Available";"Odisha";"Angul";"Angul DHH";"SNCU(Angul)";"Prestige";"Baby weighting machine";0;"16/5/17";"";"";1
"Laboratory";"Bacteriological Incubator";90000000;"YQ29aeQ";"No";"Active/in use";"Not Available";"Odisha";"Angul";"Angul DHH";"Blood Bank(Angul)";" Unilab";"UN-BI001";0;"10/11/16";"";"";2
"Laboratory";"Bacteriological Incubator";90000000;"SC57psY";"No";"Active/in use";"Not Available";"Odisha";"Angul";"Angul DHH";"Pathology(Angul)";" Yorco";"YSI438";0;"24/12/12";"";"";2
"Laboratory";"Bacteriological Incubator";90000000;"EQ80sxQ";"No";"Active/in use";"Not Available";"Odisha";"Angul";"Angul DHH";"Pathology(Angul)";" Yorco";"YSI438";0;"24/12/12";"";"";2
"Laboratory";"Bacteriological Incubator";90000000;"RD21sfN";"No";"Not in use";"Not Available";"Odisha";"Angul";"Angul DHH";"Pathology(Angul)";" Yorco";"YSI438";0;"24/12/12";"";"";2
"Laboratory";"Bacteriological Incubator";90000000;"YC98puE";"No";"Active/in use";"Available";"Odisha";"Angul";"Angul DHH";"Blood Bank(Angul)";" Unilab";"UN-BI001";0;"11/11/16";"";"";1
"Laboratory";"Billirubino Meter";170000000;"PX00vhK";"No";"Not in use";"Available";"Odisha";"Angul";"Angul DHH";"Paediatrics";"Apel Japan";"BR5100";0;"16/5/17";"";"";1
"Laboratory";"Binocular Microscope";30000000;"PC45ehD";"No";"Not in use";"Available";"Odisha";"Angul";"Angul DHH";"Pathology(Angul)";"Getner Optical Industries";"Biolux";6915;"31/3/19";"";"";1
"Laboratory";"Binocular Microscope";30000000;"YA88usA";"No";"Not in use";"Available";"Odisha";"Angul";"Angul DHH";"Pathology(Angul)";"Getner Optical Industries";"Biolux";6915;"31/3/19";"";"";1
"Laboratory";"Binocular Microscope";30000000;"VH98tnE";"No";"Not in use";"Available";"Odisha";"Angul";"Angul DHH";"Pathology(Angul)";"Getner Optical Industries";"Biolux";6915;"31/3/19";"";"";1
"Laboratory";"Binocular Microscope";30000000;"YJ29dsY";"No";"Active/in use";"Not Available";"Odisha";"Angul";"Angul DHH";"Pathology(Angul)";" Unilab";"Binacular Microscope";6915;"31/3/19";"";"";2
"Laboratory";"Boyles Apparatus";150000000;"FG75bqF";"No";"Active/in use";"Not Available";"Odisha";"Angul";"Angul DHH";"OT(Angul)";"Datex Ohmeda";"Boyles Basic";0;"18/10/11";"";"";2
"Laboratory";"Boyles Apparatus";150000000;"LG60rrT";"No";"Active/in use";"Available";"Odisha";"Angul";"Angul DHH";"OT(Angul)";"Datex Ohmeda";"Boyles Tec";0;"18/10/11";"";"";1
"Laboratory";"Centrifuse Machine";6500000;"AT18dlP";"No";"Active/in use";"Not Available";"Odisha";"Angul";"Angul DHH";"Blood Bank(Angul)";"Remi Motors";"c-854/8";0;"11/11/16";"";"";2
"Laboratory";"Centrifuse Machine";6500000;"WP98lhQ";"No";"Not in use";"Not Available";"Odisha";"Angul";"Angul DHH";"Pathology(Angul)";"Remi Elektrotechnik Limited";"C-852";6254;"31/3/19";"";"";2
"Laboratory";"Deep Freezer";60000000;"PE73joZ";"No";"Active/in use";"Available";"Odisha";"Angul";"Angul DHH";"PPC(Angul)";"Vestfrost";"MF 304";0;"5/6/13";"";"";1
"Laboratory";"Deep Freezer";60000000;"GM80mbI";"No";"Active/in use";"Not Available";"Odisha";"Angul";"Angul DHH";"PPC(Angul)";"Haier";"HBD11";0;"5/6/13";"";"";2
"Laboratory";"Deep Freezer";60000000;"DF35klC";"No";"Active/in use";"Available";"Odisha";"Angul";"Angul DHH";"PPC(Angul)";"Vestfrost";"MF 304";0;"5/6/13";"";"";1
"Laboratory";"Deep Freezer";60000000;"ZF36htF";"No";"Active/in use";"Not Available";"Odisha";"Angul";"Angul DHH";"PPC(Angul)";"Vestfrost";"MF 304";0;"5/6/13";"";"";2
"Diagnostic/Monitoring";"BP Machine";1000000;"AW13eoG";"No";"Active/in use";"Not Available";"Odisha";"Angul";"Angul DHH";"PPC(Angul)";"Romson";"1016B";0;"15/10/19";"";"";2
"Laboratory";"Digital PH Meter";10000000;"UE69foN";"No";"Active/in use";"Not Available";"Odisha";"Angul";"Angul DHH";"Blood Bank(Angul)";"EI";"EI 111";0;"9/11/16";"";"";2
"Laboratory";"Digital PH Meter";10000000;"FN38igR";"No";"Active/in use";"Not Available";"Odisha";"Angul";"Angul DHH";"Blood Bank(Angul)";"EI";"EI 101";0;"9/11/16";"";"";2
"Laboratory";"Digital Thermometer";100000;"CL60neW";"No";"Active/in use";"Available";"Odisha";"Angul";"Angul DHH";"SNCU(Angul)";"Digi Thermo";"TM 01";0;"16/5/17";"";"";1
"Laboratory";"Digital Thermometer";100000;"ZC38chX";"No";"Active/in use";"Available";"Odisha";"Angul";"Angul DHH";"SNCU(Angul)";"Digi Thermo";"TM 01";0;"16/5/17";"";"";1
"Laboratory";"Digital Thermometer";100000;"WL89fdB";"No";"Active/in use";"Not Available";"Odisha";"Angul";"Angul DHH";"SNCU(Angul)";"Digi Thermo";"TM 01";0;"16/5/17";"";"";2
"Laboratory";"Digital Thermometer";100000;"SJ82voZ";"No";"Active/in use";"Available";"Odisha";"Angul";"Angul DHH";"SNCU(Angul)";"Digi Thermo";"TM 01";0;"16/5/17";"";"";1
"Laboratory";"Digital Thermometer";100000;"MJ03laE";"No";"Active/in use";"Available";"Odisha";"Angul";"Angul DHH";"SNCU(Angul)";"Digi Thermo";"TM 01";0;"16/5/17";"";"";1
"Laboratory";"Digital Thermometer";100000;"YK57bwK";"No";"Active/in use";"Available";"Odisha";"Angul";"Angul DHH";"SNCU(Angul)";"Digi Thermo";"TM 01";0;"16/5/17";"";"";1
"Laboratory";"Digital Thermometer";100000;"KK23rfE";"No";"Active/in use";"Not Available";"Odisha";"Angul";"Angul DHH";"SNCU(Angul)";"Digi Thermo";"TM 01";0;"16/5/17";"";"";2
"Laboratory";"Digital Thermometer";100000;"XS38ojS";"No";"Active/in use";"Not Available";"Odisha";"Angul";"Angul DHH";"SNCU(Angul)";"Digi Thermo";"TM 01";0;"16/5/17";"";"";2
"Laboratory";"Digital Thermometer";100000;"BV85zfO";"No";"Active/in use";"Not Available";"Odisha";"Angul";"Angul DHH";"SNCU(Angul)";"Digi Thermo";"TM 01";0;"16/5/17";"";"";2
"Laboratory";"Digital Thermometer";100000;"TV07oiF";"No";"Active/in use";"Available";"Odisha";"Angul";"Angul DHH";"SNCU(Angul)";"Digi Thermo";"TM 01";0;"16/5/17";"";"";1
"Laboratory";"Digital Thermometer";100000;"UD46cmB";"No";"Active/in use";"Available";"Odisha";"Angul";"Angul DHH";"SNCU(Angul)";"Digi Thermo";"TM 01";0;"16/5/17";"";"";1
"Laboratory";"Digital Thermometer";100000;"XC55wmU";"No";"Active/in use";"Available";"Odisha";"Angul";"Angul DHH";"SNCU(Angul)";"Digi Thermo";"TM 01";0;"16/5/17";"";"";1
"Laboratory";"Digital Thermometer";100000;"PS97sqB";"No";"Not in use";"Not Available";"Odisha";"Angul";"Angul DHH";"SNCU(Angul)";"Digi Thermo";"TM 01";0;"16/5/17";"";"";2
"Laboratory";"Digital Thermometer";100000;"SW23udX";"No";"Not in use";"Not Available";"Odisha";"Angul";"Angul DHH";"SNCU(Angul)";"Digi Thermo";"TM 01";0;"16/5/17";"";"";2
"Diagnostic/Monitoring";"ECG Machine";52000000;"BC04yhJ";"No";"Active/in use";"Not Available";"Odisha";"Angul";"Angul DHH";"Radiology(Angul)";"M/s BPL limited";"Cardiart 6208";0;"1/11/11";"";"";2
"Diagnostic/Monitoring";"ECG Machine";52000000;"FM47qxV";"No";"Not in use";"Available";"Odisha";"Angul";"Angul DHH";"Radiology(Angul)";"Maestros";"magicR";0;"1/11/11";"";"";0
"Laboratory";"Elisa Reader";100000000;"PK77fgC";"No";"Active/in use";"Available";"Odisha";"Angul";"Angul DHH";"Blood Bank(Angul)";" Multiscan Thermo Fisher";"352";0;"11/11/16";"";"";1
"Laboratory";"Elisa Reader";100000000;"OQ91dmW";"No";"Active/in use";"Available";"Odisha";"Angul";"Angul DHH";"Blood Bank(Angul)";"BioRad";"PR4100";0;"11/11/16";"";"";1
"Laboratory";"Elisha Washer";100000000;"ZL12niS";"No";"Active/in use";"Available";"Odisha";"Angul";"Angul DHH";"Blood Bank(Angul)";"BioRad";"PW40";0;"11/11/16";"";"";1
"Laboratory";"Elisha Washer";100000000;"RG88vsV";"No";"Active/in use";"Not Available";"Odisha";"Angul";"Angul DHH";"Blood Bank(Angul)";" Thermo Fisher";"well wash 4MK 2";0;"11/11/16";"";"";2
"Diagnostic/Monitoring";"Fetal Doppler";5000000;"JP94aoW";"No";"Active/in use";"Available";"Odisha";"Angul";"Angul DHH";"LR(Angul)";"Aspen Diagnostics Pvt Ltd";"foetal doppler-01";0;"20/7/18";"";"";1
"Diagnostic/Monitoring";"Fetal Monitor";65000000;"BI86ppQ";"No";"Active/in use";"Not Available";"Odisha";"Angul";"Angul DHH";"LR(Angul)";"Freeplay";"Fetal Monitor";0;"31/3/19";"";"";2
"Diagnostic/Monitoring";"Focus Light";10000000;"UU89mxZ";"No";"Active/in use";"Not Available";"Odisha";"Angul";"Angul DHH";"LR(Angul)";"Sparx";"Focus";644;"1/4/19";"";"";2
"Diagnostic/Monitoring";"Glucometer";1500000;"SR96seW";"No";"Not in use";"Not Available";"Odisha";"Angul";"Angul DHH";"SNCU(Angul)";"Accuchek";"Glucometer";0;"16/5/17";"";"";2
"Diagnostic/Monitoring";"Glucometer";1500000;"UH42auS";"No";"Not in use";"Available";"Odisha";"Angul";"Angul DHH";"SNCU(Angul)";"Accuchek";"Glucometer";0;"16/5/17";"";"";1
"Laboratory";"Hot Air Oven";25000000;"LH30fqA";"No";"Active/in use";"Available";"Odisha";"Angul";"Angul DHH";"Pathology(Angul)";"YORCO SCIENTIFIC";"Hot Air Oven.";0;"24/12/12";"";"";1
"Laboratory";"Hot Air Oven";25000000;"PY56vhQ";"No";"Active/in use";"Available";"Odisha";"Angul";"Angul DHH";"EYE(Angul)";"Others";"Others 07";0;"5/6/13";"";"";1
